time,value
1761200453.6179538,1
1761200454.6179538,2
1761200455.6179538,1
1761200456.6179538,7
1761200457.6179538,6
1761200458.6179538,1
1761200459.6179538,1
1761200460.6179538,4
1761200461.6179538,5
1761200462.6179538,5
1761200463.6179538,0
1761200464.6179538,5
1761200465.6179538,3
1761200466.6179538,7
1761200467.6179538,3
1761200468.6179538,3
1761200469.6179538,3
1761200470.6179538,4
1761200471.6179538,4
1761200472.6179538,3
1761200473.6179538,3
1761200474.6179538,3
1761200475.6179538,2
1761200476.6179538,4
1761200477.6179538,1
1761200478.6179538,0
1761200479.6179538,7
1761200480.6179538,1
1761200481.6179538,1
1761200482.6179538,1
1761200483.6179538,3
1761200484.6179538,1
1761200485.6179538,3
1761200486.6179538,6
1761200487.6179538,1
1761200488.6179538,2
1761200489.6179538,3
1761200490.6179538,3
1761200491.6179538,7
1761200492.6179538,5
1761200493.6179538,2
1761200494.6179538,1
1761200495.6179538,7
1761200496.6179538,5
1761200497.6179538,3
1761200498.6179538,2
1761200499.6179538,3
1761200500.6179538,2
1761200501.6179538,4
1761200502.6179538,3
1761200503.6179538,3
1761200504.6179538,6
1761200505.6179538,1
1761200506.6179538,4
1761200507.6179538,2
1761200508.6179538,2
1761200509.6179538,3
1761200510.6179538,3
1761200511.6179538,1
1761200512.6179538,3
